"county","year","total_cases","total_deaths"
"Cape Girardeau",2020,7754,109
"Cape Girardeau",2021,13920,205
"Cape Girardeau",2022,18923,246
"Cape May",2020,2427,137
"Cape May",2021,16936,252
"Cape May",2022,22796,304
"Carbon",2020,5534,120
"Carbon",2021,20634,342
"Carbon",2022,28159,420
"Caribou",2020,534,10
"Caribou",2021,1091,24
"Caribou",2022,1495,28
"Carlisle",2020,328,1
"Carlisle",2021,749,13
"Carlisle",2022,1076,20
"Carlton",2020,2595,37
"Carlton",2021,6115,80
"Carlton",2022,9257,97
"Carolina",2020,6527,0
"Carolina",2021,18215,0
"Carolina",2022,32563,0
"Caroline",2020,2403,19
"Caroline",2021,9027,115
"Caroline",2022,13135,165
"Carroll",2020,28477,546
"Carroll",2021,75545,1398
"Carroll",2022,104852,1789
"Carson",2020,296,10
"Carson",2021,932,29
"Carson",2022,1532,36
"Carson City",2020,5016,57
"Carson City",2021,9760,180
"Carson City",2022,15052,218
"Carter",2020,9095,120
"Carter",2021,28172,568
"Carter",2022,41339,711
"Carteret",2020,2723,17
"Carteret",2021,9255,83
"Carteret",2022,14255,124
"Carver",2020,6449,33
"Carver",2021,18778,90
"Carver",2022,27480,117
"Cascade",2020,6634,104
"Cascade",2021,17154,283
"Cascade",2022,25246,341
"Casey",2020,884,27
"Casey",2021,3072,64
"Casey",2022,4216,74
"Cass",2020,40638,463
"Cass",2021,95558,1124
"Cass",2022,136236,1399
"Cassia",2020,2537,20
"Cassia",2021,4066,45
"Cassia",2022,5032,52
"Castro",2020,794,15
"Castro",2021,1483,41
"Castro",2022,2297,47
"Caswell",2020,1160,9
"Caswell",2021,3564,39
"Caswell",2022,5357,48
"Catahoula",2020,853,22
"Catahoula",2021,1879,48
"Catahoula",2022,2700,55
"Catano",2020,1009,0
"Catano",2021,2522,0
"Catano",2022,4771,0
"Catawba",2020,11101,158
"Catawba",2021,31781,463
"Catawba",2022,47959,600
"Catoosa",2020,3504,39
"Catoosa",2021,10469,124
"Catoosa",2022,14833,168
"Catron",2020,58,3
"Catron",2021,289,11
"Catron",2022,420,14
"Cattaraugus",2020,2585,44
"Cattaraugus",2021,11573,189
"Cattaraugus",2022,16113,222
"Cavalier",2020,408,4
"Cavalier",2021,599,7
"Cavalier",2022,822,7
"Cayey",2020,1075,0
"Cayey",2021,3149,0
"Cayey",2022,7260,0
"Cayuga",2020,2997,23
"Cayuga",2021,11551,120
"Cayuga",2022,17375,152
"Cecil",2020,3622,75
"Cecil",2021,10637,207
"Cecil",2022,15906,259
"Cedar",2020,2476,36
"Cedar",2021,6238,80
"Cedar",2022,8622,106
"Ceiba",2020,325,0
"Ceiba",2021,825,0
"Ceiba",2022,1697,0
"Centre",2020,9031,142
"Centre",2021,26495,289
"Centre",2022,36016,351
"Cerro Gordo",2020,4353,62
"Cerro Gordo",2021,8858,137
